Inst.,Description,,Class,http://mmix.cs.hm.edu/doc/instructions-en.html
CMP,,,,
NEG,,,,
SL,,,,
SR,,,,
BN,,,,
BZ,,,,
BP,,,,
BOD,,,,
BNN,,,,
BNZ ,,,,
BNP,,,,
BEV ,,,,
,,,,
LD,Loads,,IMPORTANT,
ST,Stores,,IMPORTANT,
,,,,
JMP,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
CSN,"IF Y < 0, X = Z",,IMPORTANT,
CSZ,"IF Y == 0, X = Z",,IMPORTANT,
CSP,"IF Y > 0, X = Z",,IMPORTANT,
CSOD,"IF Y%2 == 1, X = Z",,IMPORTANT,
CSNN,"IF Y >= 0, X = Z",,IMPORTANT,
CSNZ,"IF Y != 0, X = Z",,IMPORTANT,
CSNP,"IF Y <= 0, X = Z",,IMPORTANT,
CSEV,"IF Y%2 == 0, X = Z",,IMPORTANT,
OR,OR OPERATION,,IMPORTANT,
NOR,OR NEGADA,,IMPORTANT,
XOR,XOR,,IMPORTANT,
AND,AND,,IMPORTANT,
NAND,AND NEGADA,,IMPORTANT,
NXOR,XOR NEGADA,,IMPORTANT,
MUL,,,,
DIV,,,,
ADD,,,,
SUB,,,,
ZSN,"IF Y < 0, X = Z     SENAO X = 0",,IMPORTANT,
ZSZ,"IF Y == 0, X = Z   SENAO X = 0",,IMPORTANT,
ZSP,"IF Y > 0, X = Z     SENAO X = 0",,IMPORTANT,
ZSOD,"IF Y%2 == 1, X = Z  SENAO X=0",,IMPORTANT,
ZSNN,"IF Y >= 0, X = Z  SENAO X = 0",,IMPORTANT,
ZSNZ,"IF Y != 0, X = Z    SENAO X = 0",,IMPORTANT,
ZSNP,"IF Y <= 0, X = Z    SENAO X=0",,IMPORTANT,
ZSEV,"IF Y%2 == 0, X = Z    SENAO X = 0",,IMPORTANT,
